ip,classification,risk_recommended_pulsedive,abuseipdb_confidence_score,abuseipdb_total_reports,abuseipdb_num_distinct_users,abuseipdb_recent_reports_count,apivoid_risk_score,apivoid_blacklists_engines_count,apivoid_blacklists_detections,apivoid_blacklists_detection_rate,virustotal_reputation,virustotal_harmless,virustotal_malicious,virustotal_suspicious,virustotal_undetected
1.53.252.172,suspicious,0.4000000000000001,0.0,0.0,0.0,0.0,1.0,82.0,6.0,0.07,0.1820809248554913,0.631578947368421,0.0,0.010526315789473684,0.35789473684210527
1.95.129.11,denylist,0.4000000000000001,0.0,0.0,0.0,0.0,0.7000000000000001,82.0,3.0,0.04,0.180635838150289,0.6105263157894737,0.042105263157894736,0.031578947368421054,0.3157894736842105
100.29.192.1,denylist,0.0,1.0,0.013741176470588236,0.043000000000000003,3.0,1.0,82.0,7.0,0.09,0.1820809248554913,0.6631578947368421,0.031578947368421054,0.0,0.30526315789473685
100.29.192.101,denylist,0.0,1.0,0.01483529411764706,0.0485,3.0,1.0,82.0,6.0,0.07,0.18352601156069362,0.6526315789473685,0.031578947368421054,0.0,0.3157894736842105
100.29.192.11,denylist,0.0,1.0,0.015482352941176471,0.0455,3.0,1.0,82.0,7.0,0.09,0.18352601156069362,0.6526315789473685,0.031578947368421054,0.0,0.3157894736842105
100.29.192.118,denylist,0.0,1.0,0.0154,0.0475,3.0,1.0,82.0,9.0,0.11,0.1820809248554913,0.631578947368421,0.031578947368421054,0.0,0.3368421052631579
100.29.192.124,denylist,0.0,1.0,0.016658823529411764,0.051500000000000004,3.0,1.0,82.0,7.0,0.09,0.1820809248554913,0.6631578947368421,0.031578947368421054,0.0,0.30526315789473685
100.29.192.13,denylist,0.0,1.0,0.013094117647058824,0.043500000000000004,3.0,1.0,82.0,5.0,0.06,0.1820809248554913,0.6526315789473685,0.031578947368421054,0.0,0.3157894736842105
100.29.192.16,denylist,0.0,1.0,0.013623529411764706,0.0455,3.0,1.0,82.0,9.0,0.11,0.180635838150289,0.6631578947368421,0.031578947368421054,0.0,0.30526315789473685
100.29.192.18,denylist,0.0,1.0,0.013223529411764707,0.046,3.0,1.0,82.0,8.0,0.1,0.180635838150289,0.6631578947368421,0.031578947368421054,0.0,0.30526315789473685
100.29.192.2,denylist,0.0,1.0,0.012294117647058823,0.0475,3.0,1.0,82.0,10.0,0.12,0.180635838150289,0.631578947368421,0.031578947368421054,0.0,0.3368421052631579
100.29.192.21,suspicious,0.0,0.0,0.0,0.0,0.0,0.6,82.0,2.0,0.02,0.18352601156069362,0.6736842105263158,0.0,0.0,0.3263157894736842
100.29.192.22,suspicious,0.0,0.03,1.1764705882352942e-05,0.0005,1.0,0.6,82.0,2.0,0.02,0.18352601156069362,0.6631578947368421,0.0,0.0,0.3368421052631579
100.29.192.23,suspicious,0.0,0.0,0.0,0.0,0.0,0.4,82.0,1.0,0.01,0.180635838150289,0.6631578947368421,0.0,0.0,0.3368421052631579
100.29.192.25,denylist,0.0,1.0,0.015600000000000001,0.0485,3.0,1.0,82.0,7.0,0.09,0.1820809248554913,0.6631578947368421,0.031578947368421054,0.0,0.30526315789473685
100.29.192.27,denylist,0.0,1.0,0.016482352941176472,0.0485,3.0,1.0,82.0,9.0,0.11,0.180635838150289,0.6105263157894737,0.042105263157894736,0.021052631578947368,0.3263157894736842
100.29.192.29,denylist,0.0,1.0,0.0122,0.045,3.0,1.0,82.0,7.0,0.09,0.180635838150289,0.6526315789473685,0.031578947368421054,0.0,0.3157894736842105
100.29.192.3,denylist,0.0,1.0,0.01455294117647059,0.0465,3.0,1.0,82.0,8.0,0.1,0.1820809248554913,0.6421052631578947,0.021052631578947368,0.010526315789473684,0.3263157894736842
100.29.192.30,denylist,0.0,1.0,0.015470588235294118,0.047,3.0,1.0,82.0,8.0,0.1,0.1820809248554913,0.6631578947368421,0.031578947368421054,0.0,0.30526315789473685
100.29.192.4,denylist,0.0,1.0,0.01031764705882353,0.0415,3.0,1.0,82.0,9.0,0.11,0.1820809248554913,0.6421052631578947,0.031578947368421054,0.0,0.3263157894736842
100.29.192.42,denylist,0.0,1.0,0.016164705882352942,0.0455,3.0,1.0,82.0,9.0,0.11,0.1820809248554913,0.631578947368421,0.031578947368421054,0.0,0.3368421052631579
100.29.192.45,denylist,0.0,1.0,0.01091764705882353,0.046,3.0,1.0,82.0,10.0,0.12,0.1820809248554913,0.6526315789473685,0.031578947368421054,0.0,0.3157894736842105
100.29.192.47,denylist,0.0,1.0,0.014482352941176472,0.0465,3.0,1.0,82.0,7.0,0.09,0.1820809248554913,0.6105263157894737,0.05263157894736842,0.010526315789473684,0.3263157894736842
100.29.192.52,denylist,0.0,1.0,0.01675294117647059,0.0475,3.0,1.0,82.0,8.0,0.1,0.1820809248554913,0.6526315789473685,0.021052631578947368,0.0,0.3263157894736842
100.29.192.57,denylist,0.0,1.0,0.014823529411764706,0.0425,3.0,1.0,82.0,7.0,0.09,0.180635838150289,0.6526315789473685,0.021052631578947368,0.0,0.3263157894736842
100.29.192.61,denylist,0.0,1.0,0.01331764705882353,0.048,3.0,1.0,82.0,8.0,0.1,0.1820809248554913,0.6631578947368421,0.031578947368421054,0.0,0.30526315789473685
100.29.192.62,denylist,0.0,1.0,0.016247058823529413,0.051500000000000004,3.0,1.0,82.0,10.0,0.12,0.180635838150289,0.6631578947368421,0.031578947368421054,0.0,0.30526315789473685
100.29.192.64,denylist,0.0,1.0,0.013541176470588235,0.0445,3.0,1.0,82.0,7.0,0.09,0.18352601156069362,0.6526315789473685,0.031578947368421054,0.0,0.3157894736842105
100.29.192.66,denylist,0.0,1.0,0.01395294117647059,0.0475,3.0,1.0,82.0,10.0,0.12,0.1820809248554913,0.6526315789473685,0.031578947368421054,0.0,0.3157894736842105
100.29.192.69,denylist,0.0,1.0,0.01395294117647059,0.047,3.0,1.0,82.0,9.0,0.11,0.1820809248554913,0.6631578947368421,0.031578947368421054,0.0,0.30526315789473685
100.29.192.72,denylist,0.0,1.0,0.011058823529411765,0.0455,3.0,1.0,82.0,8.0,0.1,0.1820809248554913,0.6526315789473685,0.031578947368421054,0.0,0.3157894736842105
100.29.192.74,denylist,0.0,1.0,0.01328235294117647,0.0445,3.0,1.0,82.0,8.0,0.1,0.18352601156069362,0.6526315789473685,0.021052631578947368,0.0,0.3263157894736842
100.29.192.81,denylist,0.0,1.0,0.016176470588235296,0.0455,3.0,1.0,82.0,7.0,0.09,0.1820809248554913,0.6526315789473685,0.031578947368421054,0.0,0.3157894736842105
100.29.192.82,denylist,0.0,1.0,0.013141176470588236,0.05,3.0,1.0,82.0,9.0,0.11,0.1820809248554913,0.6526315789473685,0.021052631578947368,0.0,0.3263157894736842
100.29.192.83,denylist,0.0,1.0,0.011682352941176472,0.0455,3.0,1.0,82.0,9.0,0.11,0.1820809248554913,0.6631578947368421,0.031578947368421054,0.0,0.30526315789473685
100.29.192.85,denylist,0.0,1.0,0.01595294117647059,0.048,3.0,1.0,82.0,6.0,0.07,0.1820809248554913,0.6526315789473685,0.031578947368421054,0.0,0.3157894736842105
100.29.192.87,denylist,0.0,1.0,0.012376470588235294,0.043000000000000003,3.0,1.0,82.0,10.0,0.12,0.18352601156069362,0.6421052631578947,0.031578947368421054,0.0,0.3263157894736842
100.29.192.89,denylist,0.0,1.0,0.017211764705882353,0.0485,3.0,1.0,82.0,8.0,0.1,0.1820809248554913,0.6631578947368421,0.021052631578947368,0.0,0.3157894736842105
100.29.192.91,denylist,0.0,1.0,0.014023529411764707,0.0425,3.0,1.0,82.0,6.0,0.07,0.10549132947976876,0.6526315789473685,0.031578947368421054,0.0,0.3157894736842105
100.29.192.95,denylist,0.0,1.0,0.01467058823529412,0.0485,3.0,1.0,82.0,8.0,0.1,0.1820809248554913,0.6526315789473685,0.031578947368421054,0.0,0.3157894736842105
100.29.192.97,denylist,0.0,1.0,0.013458823529411766,0.0505,3.0,1.0,82.0,8.0,0.1,0.18352601156069362,0.6631578947368421,0.031578947368421054,0.0,0.30526315789473685
